,D,DevE2R,DevR2E,DevtE2R,DevtR2E,HitRate_0.5F,HitRate_0.5P,HitRate_0.5R,HitRate_3F,HitRate_3P,HitRate_3R,HitRate_t0.5F,HitRate_t0.5P,HitRate_t0.5R,HitRate_t3F,HitRate_t3P,HitRate_t3R,HitRate_w0.5F,HitRate_w3F,HitRate_wt0.5F,HitRate_wt3F,PWF,PWP,PWR,Sf,So,Su,ds_name,track_id
183,0.5502800083248099,1.3000000000000007,5.20000000000001,1.3999999999999986,7.250000000000007,0.09523809523809525,0.1111111111111111,0.08333333333333333,0.4761904761904762,0.5555555555555556,0.4166666666666667,0.0,0.0,0.0,0.47058823529411764,0.5714285714285714,0.4,0.10250981836033383,0.5125490918016691,0.0,0.5157854110382092,0.6451240493423642,0.5148460355730516,0.8636692091529506,0.6626748850486321,0.7926920151485115,0.5692986709003516,0419,0419_itgirl
184,0.5550932463340537,4.800000000000011,1.8000000000000007,9.299999999999997,1.8000000000000007,0.18181818181818185,0.15384615384615385,0.2222222222222222,0.4545454545454546,0.38461538461538464,0.5555555555555556,0.1111111111111111,0.09090909090909091,0.14285714285714285,0.4444444444444444,0.36363636363636365,0.5714285714285714,0.16676233497217302,0.41690583743043247,0.10006888908856741,0.40027555635426965,0.4349029639619404,0.3725024379757168,0.5224166897886685,0.5363059966264376,0.6063368119467814,0.4807771027367458,0420,0420_itsrainingmen
185,0.5502800083248099,0.8000000000000043,0.8000000000000043,1.8500000000000014,0.8000000000000043,0.2727272727272727,0.25,0.3,0.7272727272727272,0.6666666666666666,0.8,0.22222222222222224,0.2,0.25,0.6666666666666665,0.6,0.75,0.260947669877636,0.6958604530070295,0.21060262228946042,0.6318078668683813,0.5568657297751258,0.7297046340948704,0.45022482161836846,0.5113635791005889,0.4457754506907663,0.5995816182738458,0421,0421_ittakestwo
186,0.5502800083248099,5.200000000000003,4.200000000000001,9.199999999999989,7.199999999999996,0.16,0.15384615384615385,0.16666666666666666,0.4,0.38461538461538464,0.4166666666666667,0.0,0.0,0.0,0.28571428571428564,0.2727272727272727,0.3,0.15688392186326072,0.39220980465815175,0.0,0.27911445279866337,0.47813779971877607,0.46521759418756,0.49179615548103717,0.5041599274926235,0.4943647637190468,0.5143510931340931,0422,0422_itwillrain
187,0.5357938279961953,2.3000000000000114,2.3000000000000114,3.200000000000003,2.3000000000000114,0.16666666666666669,0.15384615384615385,0.18181818181818182,0.5833333333333334,0.5384615384615384,0.6363636363636364,0.09999999999999999,0.09090909090909091,0.1111111111111111,0.5,0.45454545454545453,0.5555555555555556,0.16004407080069938,0.5601542478024478,0.09526932618551998,0.4763466309275999,0.6351279907153284,0.7363671440642232,0.5583618295166966,0.6044764184139,0.5330298367851136,0.6980408475573674,0423,0423_iwannago
188,0.5711877115241565,1.0,2.6500000000000057,3.3000000000000114,3.3000000000000114,0.17391304347826086,0.18181818181818182,0.16666666666666666,0.5217391304347826,0.5454545454545454,0.5,0.10526315789473685,0.1111111111111111,0.1,0.4210526315789474,0.4444444444444444,0.4,0.1777505852309002,0.5332517556927007,0.10808799741184084,0.4323519896473634,0.4641923969664683,0.4860202774290509,0.4442408898177787,0.48954168319793073,0.46910053299116006,0.5118454518533901,0424,0424_justadream
189,0.6083659238943623,2.9499999999999886,5.049999999999995,5.049999999999995,5.049999999999995,0.20000000000000004,0.2,0.2,0.4000000000000001,0.4,0.4,0.125,0.125,0.125,0.375,0.375,0.375,0.2,0.4,0.125,0.375,0.6105947683417685,0.6093979905653824,0.6117962559971091,0.6522547456672974,0.6614663297953929,0.6432961988925645,0425,0425_justakiss
190,0.5502800083248099,0.9000000000000057,4.900000000000006,7.900000000000006,8.100000000000009,0.17391304347826086,0.18181818181818182,0.16666666666666666,0.5217391304347826,0.5454545454545454,0.5,0.10526315789473685,0.1111111111111111,0.1,0.4210526315789474,0.4444444444444444,0.4,0.1777505852309002,0.5332517556927007,0.10808799741184084,0.4323519896473634,0.5156109729103706,0.44704854792925247,0.6090134426607686,0.5712949265554202,0.6291965404783093,0.523152025775334,0426,0426_justcantgetenough
191,0.5936920830097703,1.5999999999999943,1.200000000000017,1.7000000000000028,1.200000000000017,0.09090909090909093,0.07692307692307693,0.1111111111111111,0.7272727272727274,0.6153846153846154,0.8888888888888888,0.0,0.0,0.0,0.7777777777777778,0.6363636363636364,1.0,0.08338116748608651,0.6670493398886921,0.0,0.7004822236199719,0.599572291675351,0.5816594999515956,0.6186234247948275,0.6945863905465537,0.7226002191052182,0.6686635822477864,0427,0427_justthewayyouare
192,0.5357938279961953,1.3000000000000114,6.100000000000023,6.05,11.0,0.2608695652173913,0.3,0.23076923076923078,0.4347826086956522,0.5,0.38461538461538464,0.2105263157894737,0.25,0.18181818181818182,0.3157894736842105,0.375,0.2727272727272727,0.2789357971780814,0.4648929952968024,0.2284366346449694,0.34265495196745405,0.45101160907680854,0.3783103926555867,0.5583025386359108,0.5116278459573261,0.5921115240221833,0.4504057457769014,0428,0428_kingofanything
193,0.6302218310330651,4.299999999999983,4.299999999999983,16.799999999999997,8.199999999999989,0.125,0.1111111111111111,0.14285714285714285,0.375,0.3333333333333333,0.42857142857142855,0.0,0.0,0.0,0.3333333333333333,0.2857142857142857,0.4,0.11769471941381618,0.3530841582414485,0.0,0.30785533287260997,0.5492743600269867,0.5777539023739299,0.523470632877487,0.6036934348570879,0.562276552515807,0.6516969594020043,0429,0429_kissinu
194,0.5357938279961953,1.7000000000000028,1.9000000000000057,1.9000000000000057,1.9000000000000057,0.24000000000000002,0.25,0.23076923076923078,0.64,0.6666666666666666,0.6153846153846154,0.1904761904761905,0.2,0.18181818181818182,0.6666666666666666,0.7,0.6363636363636364,0.2448635575208267,0.6529694867222046,0.1950891944760737,0.6828121806662578,0.49084247144024334,0.42950536258887434,0.5726171975171707,0.6226415782247615,0.7132325528477604,0.5524698234993621,0430,0430_lastfridaynight
